Transaction ID,Date,Customer ID,Gender,Age,Product,Category,Quantity,Price,Total Amount
T00384,2023-02-07,C063,Male,35,T-Shirt,Clothing,1,919.89,919.89
T00383,2023-02-22,C062,Male,43,Office Chair,Furniture,1,6748.56,6748.56
T00403,2023-02-25,C074,Male,61,Blender,Home & Kitchen,1,2997.2,2997.2
T00387,2023-03-11,C066,Male,64,Jacket,Clothing,2,4947.01,9894.02
T00386,2023-03-19,C065,Female,23,Rice Cooker,Home & Kitchen,1,3746.67,3746.67
T00377,2023-03-30,C058,Male,22,T-Shirt,Clothing,1,911.54,911.54
T00407,2023-04-18,C075,Female,55,Jeans,Clothing,1,2404.78,2404.78
T00398,2023-04-22,C071,Female,22,Blender,Home & Kitchen,2,2640.14,5280.28
T00380,2023-04-26,C059,Male,28,Jeans,Clothing,2,2391.64,4783.28
T00382,2023-05-24,C061,Male,50,Smartphone,Electronics,1,29536.4,29536.4
T00404,2023-06-10,C074,Male,61,Jeans,Clothing,1,1982.41,1982.41
T00405,2023-08-10,C075,Female,55,Office Chair,Furniture,2,7091.11,14182.22
T00381,2023-08-16,C060,Male,40,Jacket,Clothing,1,4225.94,4225.94
T00376,2023-08-22,C058,Male,22,Jeans,Clothing,1,2099.11,2099.11
T00412,2023-09-05,C077,Female,65,Smartphone,Electronics,2,32026.3,64052.6
T00397,2023-09-05,C070,Male,64,T-Shirt,Clothing,1,878.15,878.15
T00406,2023-09-07,C075,Female,55,T-Shirt,Clothing,1,949.48,949.48
T00396,2023-09-15,C070,Male,64,Rice Cooker,Home & Kitchen,1,3538.08,3538.08
T00410,2023-09-19,C076,Female,21,Jeans,Clothing,2,2228.33,4456.66
T00392,2023-09-24,C067,Female,26,Smartphone,Electronics,1,28159.25,28159.25
T00394,2023-10-17,C069,Female,37,Rice Cooker,Home & Kitchen,1,3802.95,3802.95
T00388,2023-10-24,C066,Male,64,Jeans,Clothing,1,2122.53,2122.53
T00389,2023-11-10,C066,Male,64,Jacket,Clothing,2,4775.57,9551.14
T00372,2023-11-14,C056,Female,47,T-Shirt,Clothing,1,942.25,942.25
T00391,2023-11-27,C067,Female,26,Jeans,Clothing,2,2237.29,4474.58
T00373,2024-01-05,C057,Male,45,Office Chair,Furniture,1,6337.21,6337.21
T00242,2024-01-06,C029,Female,41,Laptop,Electronics,1,66561.94,66561.94
T00265,2024-01-08,C033,Male,44,Jacket,Clothing,2,4134.66,8269.32
T00417,2024-01-20,C080,Female,39,T-Shirt,Clothing,1,827.43,827.43
T00299,2024-01-24,C040,Female,29,Office Chair,Furniture,3,7388.3,22164.9
T00241,2024-01-31,C029,Female,41,Desk Lamp,Furniture,1,1687.8,1687.8
T00309,2024-02-02,C043,Male,57,Blender,Home & Kitchen,2,2940.47,5880.94
T00360,2024-02-03,C053,Male,21,Laptop,Electronics,1,68570.11,68570.11
T00375,2024-02-08,C057,Male,45,T-Shirt,Clothing,1,946.42,946.42
T00230,2024-02-11,C027,Male,29,Jeans,Clothing,1,2117.53,2117.53
T00411,2024-02-11,C077,Female,65,Jeans,Clothing,2,2163.75,4327.5
T00250,2024-02-19,C031,Female,33,Laptop,Electronics,2,58747.44,117494.88
T00416,2024-02-19,C079,Female,25,Jeans,Clothing,2,2074.3,4148.6
T00257,2024-02-28,C032,Male,44,Jacket,Clothing,3,4609.61,13828.83
T00378,2024-03-04,C058,Male,22,Laptop,Electronics,1,58513.88,58513.88
T00272,2024-03-07,C035,Female,36,Office Chair,Furniture,3,6439.81,19319.43
T00243,2024-03-11,C029,Female,41,Headphones,Electronics,1,2545.1,2545.1
T00235,2024-03-11,C028,Male,25,Jeans,Clothing,2,2126.56,4253.12
T00232,2024-03-12,C027,Male,29,Laptop,Electronics,3,61191.27,183573.81
T00249,2024-03-13,C030,Female,50,Headphones,Electronics,2,2457.01,4914.02
T00345,2024-03-14,C050,Male,24,Desk Lamp,Furniture,1,1689.33,1689.33
T00254,2024-03-21,C031,Female,33,Rice Cooker,Home & Kitchen,1,3505.1,3505.1
T00302,2024-03-21,C041,Male,42,Jeans,Clothing,3,2051.97,6155.91
T00415,2024-03-23,C079,Female,25,T-Shirt,Clothing,2,817.22,1634.44
T00259,2024-03-25,C032,Male,44,Rice Cooker,Home & Kitchen,1,3735.37,3735.37
T00285,2024-03-27,C038,Male,29,Blender,Home & Kitchen,1,3010.96,3010.96
T00370,2024-03-28,C055,Male,57,Jeans,Clothing,3,2365.04,7095.12
T00329,2024-03-29,C047,Male,55,Rice Cooker,Home & Kitchen,3,3291.77,9875.31
T00363,2024-04-03,C053,Male,21,Office Chair,Furniture,2,7446.88,14893.76
T00308,2024-04-07,C043,Male,57,T-Shirt,Clothing,2,871.63,1743.26
T00290,2024-04-15,C039,Female,58,Smartphone,Electronics,1,30505.37,30505.37
T00255,2024-04-20,C031,Female,33,Desk Lamp,Furniture,1,1625.97,1625.97
T00374,2024-04-21,C057,Male,45,Laptop,Electronics,2,64820.5,129641.0
T00350,2024-04-22,C051,Female,57,Jeans,Clothing,2,2200.34,4400.68
T00317,2024-04-23,C045,Female,34,Rice Cooker,Home & Kitchen,3,3178.18,9534.54
T00258,2024-04-26,C032,Male,44,Laptop,Electronics,1,66229.38,66229.38
T00296,2024-04-28,C040,Female,29,Blender,Home & Kitchen,1,2996.75,2996.75
T00323,2024-05-01,C046,Male,25,T-Shirt,Clothing,2,883.47,1766.94
T00260,2024-05-01,C032,Male,44,Jacket,Clothing,1,4258.15,4258.15
T00282,2024-05-09,C037,Male,63,Jacket,Clothing,1,4283.5,4283.5
T00311,2024-05-15,C043,Male,57,Jeans,Clothing,1,1981.02,1981.02
T00358,2024-05-21,C052,Male,35,Smartphone,Electronics,3,32274.41,96823.23
T00399,2024-05-22,C072,Male,55,Headphones,Electronics,2,2663.39,5326.78
T00344,2024-05-29,C050,Male,24,Blender,Home & Kitchen,1,2584.79,2584.79
T00357,2024-05-30,C052,Male,35,Office Chair,Furniture,2,6987.76,13975.52
T00280,2024-06-04,C037,Male,63,Laptop,Electronics,2,69953.47,139906.94
T00332,2024-06-12,C047,Male,55,T-Shirt,Clothing,2,881.94,1763.88
T00408,2024-06-14,C076,Female,21,Headphones,Electronics,2,2547.14,5094.28
T00413,2024-06-16,C077,Female,65,T-Shirt,Clothing,1,967.38,967.38
T00226,2024-06-19,C026,Female,46,Smartphone,Electronics,2,30373.02,60746.04
T00393,2024-06-19,C068,Male,65,Jacket,Clothing,2,4372.81,8745.62
T00385,2024-06-20,C064,Male,38,Desk Lamp,Furniture,2,1655.94,3311.88
T00341,2024-07-03,C049,Male,58,Jacket,Clothing,1,4246.97,4246.97
T00246,2024-07-05,C030,Female,50,Desk Lamp,Furniture,1,1783.6,1783.6
T00202,2024-07-05,C024,Female,49,Rice Cooker,Home & Kitchen,3,3710.61,11131.83
T00125,2024-07-07,C015,Male,50,T-Shirt,Clothing,2,863.16,1726.32
T00292,2024-07-08,C039,Female,58,Jeans,Clothing,1,2319.84,2319.84
T00066,2024-07-10,C008,Male,63,Laptop,Electronics,2,65082.29,130164.58
T00326,2024-07-13,C046,Male,25,T-Shirt,Clothing,1,845.61,845.61
T00132,2024-07-16,C015,Male,50,Laptop,Electronics,3,61076.65,183229.95
T00061,2024-07-18,C008,Male,63,Blender,Home & Kitchen,1,2605.84,2605.84
T00253,2024-07-21,C031,Female,33,Jacket,Clothing,1,4179.35,4179.35
T00227,2024-07-23,C026,Female,46,Rice Cooker,Home & Kitchen,1,3818.74,3818.74
T00143,2024-07-24,C017,Male,25,Rice Cooker,Home & Kitchen,2,3214.2,6428.4
T00063,2024-07-25,C008,Male,63,Smartphone,Electronics,1,31664.43,31664.43
T00010,2024-07-25,C001,Male,55,Jacket,Clothing,3,4920.76,14762.28
T00325,2024-07-26,C046,Male,25,Rice Cooker,Home & Kitchen,2,3614.04,7228.08
T00365,2024-07-28,C054,Male,46,Jacket,Clothing,2,4725.24,9450.48
